date,team_a,team_b,team_a_goals,team_b_goals,tournament,neutral,elo_diff,fifa_rank_diff,recent_form_diff,goals_for_last_10_diff,goals_against_last_10_diff,goal_diff_last_10_diff,strength_gap,host_advantage_diff,result,team_a_win,draw,team_b_win
2024-07-02,Brazil,Colombia,1,1,Copa América,True,-4.0,7.0,-0.5000000000000002,-2.0,-2.0,-4.0,4.5,0.0,draw,0,1,0
2024-07-04,Argentina,Ecuador,1,1,Copa América,True,225.0,28.0,0.8,13.0,3.0,16.0,16.8,0.0,draw,0,1,0
2024-07-05,Germany,Spain,1,2,UEFA Euro,False,-190.0,-5.0,0.7999999999999998,10.0,-3.0,7.0,13.8,0.0,team_b_win,0,0,1
2024-07-05,Portugal,France,0,0,UEFA Euro,True,-74.0,-8.0,-0.20000000000000018,1.0,0.0,1.0,1.2000000000000002,0.0,draw,0,1,0
2024-07-06,England,Switzerland,1,1,UEFA Euro,True,159.0,14.0,0.8,5.0,7.0,12.0,12.8,0.0,draw,0,1,0
2024-07-06,Netherlands,Turkey,2,1,UEFA Euro,True,95.0,25.0,-0.10000000000000009,1.0,4.0,5.0,5.1,0.0,team_a_win,1,0,0
2024-07-06,Uruguay,Brazil,0,0,Copa América,True,-108.0,-14.0,0.0,-12.0,4.0,-8.0,16.0,0.0,draw,0,1,0
2024-07-06,Colombia,Panama,5,0,Copa América,True,252.0,28.0,0.6000000000000001,7.0,6.0,13.0,13.6,0.0,team_a_win,1,0,0
2024-07-09,Spain,France,2,1,UEFA Euro,True,66.0,-2.0,-0.2999999999999998,0.0,5.0,5.0,5.3,0.0,team_a_win,1,0,0
2024-07-09,Argentina,Canada,2,0,Copa América,True,348.0,26.0,1.0,16.0,2.0,18.0,19.0,-1.0,team_a_win,1,0,0
2024-07-10,Netherlands,England,1,2,UEFA Euro,True,-80.0,-3.0,-0.3999999999999999,-1.0,-7.0,-8.0,8.4,0.0,team_b_win,0,0,1
2024-07-10,Uruguay,Colombia,0,1,Copa América,True,-112.0,-7.0,-0.5000000000000002,-14.0,2.0,-12.0,16.5,0.0,team_b_win,0,0,1
2024-07-13,Canada,Uruguay,2,2,Copa América,True,-103.0,-9.0,-0.19999999999999996,-2.0,3.0,1.0,5.2,1.0,draw,0,1,0
2024-07-14,Spain,England,2,1,UEFA Euro,True,105.0,1.0,-0.2999999999999998,1.0,-2.0,-1.0,3.3,0.0,team_a_win,1,0,0
2024-07-14,Argentina,Colombia,1,0,Copa América,True,133.0,10.0,0.2999999999999998,0.0,7.0,7.0,7.3,0.0,team_a_win,1,0,0
2024-09-05,Portugal,Croatia,2,1,UEFA Nations League,False,77.0,6.0,0.09999999999999964,7.0,1.0,8.0,8.1,0.0,team_a_win,1,0,0
2024-09-06,Egypt,Cape Verde,3,0,African Cup of Nations qualification,False,105.0,37.0,0.20000000000000018,-1.0,5.0,4.0,6.2,0.0,team_a_win,1,0,0
2024-09-06,Uruguay,Paraguay,0,0,FIFA World Cup qualification,False,90.0,18.0,0.30000000000000004,-2.0,5.0,3.0,7.3,0.0,draw,0,1,0
2024-09-06,Brazil,Ecuador,1,0,FIFA World Cup qualification,False,88.0,25.0,0.0,11.0,-6.0,5.0,17.0,0.0,team_a_win,1,0,0
2024-09-07,Mexico,New Zealand,3,0,Friendly,True,303.0,73.0,1.7999999999999998,9.0,15.0,24.0,25.8,1.0,team_a_win,1,0,0
2024-09-07,United States,Canada,1,2,Friendly,False,13.0,15.0,0.3999999999999999,13.0,-11.0,2.0,24.4,0.0,team_b_win,0,0,1
2024-09-07,Netherlands,Bosnia and Herzegovina,5,2,UEFA Nations League,False,328.0,57.0,0.8,8.0,2.0,10.0,10.8,0.0,team_a_win,1,0,0
2024-09-08,Portugal,Scotland,2,1,UEFA Nations League,False,195.0,32.0,0.19999999999999973,4.0,1.0,5.0,5.199999999999999,0.0,team_a_win,1,0,0
2024-09-08,Switzerland,Spain,1,4,UEFA Nations League,False,-264.0,-15.0,-0.5000000000000002,-6.0,-5.0,-11.0,11.5,0.0,team_b_win,0,0,1
2024-09-09,France,Belgium,2,0,UEFA Nations League,False,184.0,9.0,0.2999999999999998,-7.0,-2.0,-9.0,9.3,0.0,team_a_win,1,0,0
2024-09-09,Norway,Austria,2,1,UEFA Nations League,False,84.0,-7.0,-0.3999999999999999,4.0,-4.0,0.0,8.4,0.0,team_a_win,1,0,0
2024-09-10,Mexico,Canada,0,0,Friendly,True,114.0,17.0,0.7999999999999998,9.0,1.0,10.0,10.8,0.0,draw,0,1,0
2024-09-10,United States,New Zealand,1,1,Friendly,False,202.0,71.0,1.4,13.0,3.0,16.0,17.4,1.0,draw,0,1,0
2024-09-10,Netherlands,Germany,2,2,UEFA Nations League,False,5.0,1.0,-0.8999999999999999,-12.0,-2.0,-14.0,14.9,0.0,draw,0,1,0
2024-09-10,Colombia,Argentina,2,1,FIFA World Cup qualification,False,-133.0,-10.0,-0.2999999999999998,0.0,-7.0,-7.0,7.3,0.0,team_a_win,1,0,0
2024-09-10,Paraguay,Brazil,1,0,FIFA World Cup qualification,False,-198.0,-32.0,-0.30000000000000004,-10.0,-1.0,-11.0,11.3,0.0,team_a_win,1,0,0
2024-10-10,Ecuador,Paraguay,0,0,FIFA World Cup qualification,False,110.0,7.0,0.30000000000000004,-1.0,7.0,6.0,8.3,0.0,draw,0,1,0
2024-10-10,Uzbekistan,Iran,0,0,FIFA World Cup qualification,False,-42.0,-32.0,-0.30000000000000004,-5.0,-2.0,-7.0,7.3,0.0,draw,0,1,0
2024-10-10,Jordan,South Korea,0,2,FIFA World Cup qualification,False,-106.0,-45.0,-0.19999999999999996,2.0,-2.0,0.0,4.2,0.0,team_b_win,0,0,1
2024-10-10,Saudi Arabia,Japan,0,2,FIFA World Cup qualification,False,-312.0,-43.0,-1.0,-4.0,-5.0,-9.0,10.0,0.0,team_b_win,0,0,1
2024-10-11,Bosnia and Herzegovina,Germany,1,2,UEFA Nations League,False,-323.0,-56.0,-1.7,-20.0,-4.0,-24.0,25.7,0.0,team_b_win,0,0,1
2024-10-12,United States,Panama,2,0,Friendly,False,50.0,27.0,0.2999999999999998,4.0,0.0,4.0,4.3,1.0,team_a_win,1,0,0
2024-10-12,Croatia,Scotland,2,1,UEFA Nations League,False,118.0,26.0,0.10000000000000009,-3.0,0.0,-3.0,3.1,0.0,team_a_win,1,0,0
2024-10-13,Austria,Norway,5,1,UEFA Nations League,False,-84.0,7.0,0.3999999999999999,-4.0,4.0,0.0,8.4,0.0,team_a_win,1,0,0
2024-10-14,Belgium,France,1,2,UEFA Nations League,False,-184.0,-9.0,-0.2999999999999998,7.0,2.0,9.0,9.3,0.0,team_b_win,0,0,1
2024-10-14,Germany,Netherlands,1,0,UEFA Nations League,False,-5.0,-1.0,0.8999999999999999,12.0,2.0,14.0,14.9,0.0,team_a_win,1,0,0
2024-10-15,Canada,Panama,2,1,Friendly,False,37.0,12.0,-0.10000000000000009,-9.0,11.0,2.0,20.1,1.0,team_a_win,1,0,0
2024-10-15,Mexico,United States,2,0,Friendly,False,101.0,2.0,0.3999999999999999,-4.0,12.0,8.0,16.4,0.0,team_a_win,1,0,0
2024-10-15,Scotland,Portugal,0,0,UEFA Nations League,False,-195.0,-32.0,-0.19999999999999973,-4.0,-1.0,-5.0,5.199999999999999,0.0,draw,0,1,0
2024-10-15,Uruguay,Ecuador,0,0,FIFA World Cup qualification,False,-20.0,11.0,0.0,-1.0,-2.0,-3.0,3.0,0.0,draw,0,1,0
2024-10-15,Iran,Qatar,4,1,FIFA World Cup qualification,True,309.0,35.0,1.1,13.0,7.0,20.0,21.1,0.0,team_a_win,1,0,0
2024-10-15,South Korea,Iraq,3,2,FIFA World Cup qualification,False,179.0,37.0,0.19999999999999996,4.0,-3.0,1.0,7.2,0.0,team_a_win,1,0,0
2024-10-15,Japan,Australia,1,1,FIFA World Cup qualification,False,71.0,9.0,0.5,1.0,2.0,3.0,3.5,0.0,draw,0,1,0
2024-11-14,Paraguay,Argentina,2,1,FIFA World Cup qualification,False,-335.0,-35.0,-1.1,-12.0,-10.0,-22.0,23.1,0.0,team_a_win,1,0,0
2024-11-14,Qatar,Uzbekistan,3,2,FIFA World Cup qualification,False,-267.0,-3.0,-0.8,-8.0,-5.0,-13.0,13.8,0.0,team_a_win,1,0,0
2024-11-14,Iraq,Jordan,0,0,FIFA World Cup qualification,False,-73.0,8.0,0.0,-6.0,5.0,-1.0,11.0,0.0,draw,0,1,0
2024-11-14,Australia,Saudi Arabia,0,0,FIFA World Cup qualification,False,241.0,34.0,0.5,3.0,3.0,6.0,6.5,0.0,draw,0,1,0
2024-11-15,Scotland,Croatia,1,0,UEFA Nations League,False,-118.0,-26.0,-0.10000000000000009,3.0,0.0,3.0,3.1,0.0,team_a_win,1,0,0
2024-11-15,Uruguay,Colombia,3,2,FIFA World Cup qualification,False,-112.0,-7.0,-0.5000000000000002,-14.0,2.0,-12.0,16.5,0.0,team_a_win,1,0,0
2024-11-15,Cape Verde,Egypt,1,1,African Cup of Nations qualification,False,-105.0,-37.0,-0.20000000000000018,1.0,-5.0,-4.0,6.2,0.0,draw,0,1,0
2024-11-16,Germany,Bosnia and Herzegovina,7,0,UEFA Nations League,False,323.0,56.0,1.7,20.0,4.0,24.0,25.7,0.0,team_a_win,1,0,0
2024-11-18,Croatia,Portugal,1,1,UEFA Nations League,False,-77.0,-6.0,-0.09999999999999964,-7.0,-1.0,-8.0,8.1,0.0,draw,0,1,0
2024-11-18,Spain,Switzerland,3,2,UEFA Nations League,False,264.0,15.0,0.5000000000000002,6.0,5.0,11.0,11.5,0.0,team_a_win,1,0,0
2024-11-19,Bosnia and Herzegovina,Netherlands,1,1,UEFA Nations League,False,-328.0,-57.0,-0.8,-8.0,-2.0,-10.0,10.8,0.0,draw,0,1,0
2024-11-19,Colombia,Ecuador,0,1,FIFA World Cup qualification,False,92.0,18.0,0.5000000000000002,13.0,-4.0,9.0,17.5,0.0,team_b_win,0,0,1
2024-11-19,Brazil,Uruguay,1,1,FIFA World Cup qualification,False,108.0,14.0,0.0,12.0,-4.0,8.0,16.0,0.0,draw,0,1,0
2024-12-28,Iraq,Saudi Arabia,1,3,Gulf Cup,True,9.0,-1.0,0.5999999999999999,0.0,3.0,3.0,3.5999999999999996,0.0,team_b_win,0,0,1
2025-01-22,Uzbekistan,Jordan,0,0,Friendly,True,34.0,14.0,-0.19999999999999996,-3.0,6.0,3.0,9.2,0.0,draw,0,1,0
2025-03-20,Canada,Mexico,0,2,CONCACAF Nations League,True,-114.0,-17.0,-0.7999999999999998,-9.0,-1.0,-10.0,10.8,0.0,team_b_win,0,0,1
2025-03-20,United States,Panama,0,1,CONCACAF Nations League,False,50.0,27.0,0.2999999999999998,4.0,0.0,4.0,4.3,1.0,team_b_win,0,0,1
2025-03-20,Croatia,France,2,0,UEFA Nations League,False,-151.0,-14.0,-0.2999999999999998,-6.0,-1.0,-7.0,7.3,0.0,team_a_win,1,0,0
2025-03-20,Netherlands,Spain,2,2,UEFA Nations League,False,-185.0,-4.0,-0.10000000000000009,-2.0,-5.0,-7.0,7.1,0.0,draw,0,1,0
2025-03-20,Brazil,Colombia,2,1,FIFA World Cup qualification,False,-4.0,7.0,-0.5000000000000002,-2.0,-2.0,-4.0,4.5,0.0,team_a_win,1,0,0
2025-03-21,Uruguay,Argentina,0,1,FIFA World Cup qualification,False,-245.0,-17.0,-0.8,-14.0,-5.0,-19.0,19.8,0.0,team_b_win,0,0,1
2025-03-23,United States,Canada,1,2,CONCACAF Nations League,False,13.0,15.0,0.3999999999999999,13.0,-11.0,2.0,24.4,0.0,team_b_win,0,0,1
2025-03-23,Panama,Mexico,1,2,CONCACAF Nations League,True,-151.0,-29.0,-0.6999999999999997,0.0,-12.0,-12.0,12.7,-1.0,team_b_win,0,0,1
2025-03-23,France,Croatia,2,0,UEFA Nations League,False,151.0,14.0,0.2999999999999998,6.0,1.0,7.0,7.3,0.0,team_a_win,1,0,0
2025-03-23,Spain,Netherlands,3,3,UEFA Nations League,False,185.0,4.0,0.10000000000000009,2.0,5.0,7.0,7.1,0.0,draw,0,1,0
2025-03-25,Colombia,Paraguay,2,2,FIFA World Cup qualification,False,202.0,25.0,0.8000000000000003,12.0,3.0,15.0,15.8,0.0,draw,0,1,0
2025-03-25,Argentina,Brazil,4,1,FIFA World Cup qualification,False,137.0,3.0,0.8,2.0,9.0,11.0,11.8,0.0,team_a_win,1,0,0
2025-03-25,Iran,Uzbekistan,2,2,FIFA World Cup qualification,False,42.0,32.0,0.30000000000000004,5.0,2.0,7.0,7.3,0.0,draw,0,1,0
2025-03-25,South Korea,Jordan,1,1,FIFA World Cup qualification,False,106.0,45.0,0.19999999999999996,-2.0,2.0,0.0,4.2,0.0,draw,0,1,0
2025-03-25,Japan,Saudi Arabia,0,0,FIFA World Cup qualification,False,312.0,43.0,1.0,4.0,5.0,9.0,10.0,0.0,draw,0,1,0
2025-05-30,Saudi Arabia,Jordan,2,0,Friendly,False,-82.0,9.0,-0.5999999999999999,-6.0,2.0,-4.0,8.6,0.0,team_a_win,1,0,0
2025-06-04,Germany,Portugal,1,2,UEFA Nations League,False,-50.0,1.0,0.7000000000000002,9.0,2.0,11.0,11.7,0.0,team_b_win,0,0,1
2025-06-05,Spain,France,5,4,UEFA Nations League,True,66.0,-2.0,-0.2999999999999998,0.0,5.0,5.0,5.3,0.0,team_a_win,1,0,0
2025-06-05,Ecuador,Brazil,0,0,FIFA World Cup qualification,False,-88.0,-25.0,0.0,-11.0,6.0,-5.0,17.0,0.0,draw,0,1,0
2025-06-05,Paraguay,Uruguay,2,0,FIFA World Cup qualification,False,-90.0,-18.0,-0.30000000000000004,2.0,-5.0,-3.0,7.3,0.0,team_a_win,1,0,0
2025-06-05,Qatar,Iran,1,0,FIFA World Cup qualification,False,-309.0,-35.0,-1.1,-13.0,-7.0,-20.0,21.1,0.0,team_a_win,1,0,0
2025-06-05,Iraq,South Korea,0,2,FIFA World Cup qualification,False,-179.0,-37.0,-0.19999999999999996,-4.0,3.0,-1.0,7.2,0.0,team_b_win,0,0,1
2025-06-05,Australia,Japan,1,0,FIFA World Cup qualification,False,-71.0,-9.0,-0.5,-1.0,-2.0,-3.0,3.5,0.0,team_a_win,1,0,0
2025-06-06,Morocco,Tunisia,2,0,Friendly,False,255.0,52.0,1.0000000000000002,8.0,13.0,21.0,22.0,0.0,team_a_win,1,0,0
2025-06-07,Mexico,Switzerland,2,4,Friendly,True,16.0,7.0,0.5999999999999999,-1.0,5.0,4.0,6.6,1.0,team_b_win,0,0,1
2025-06-07,United States,Turkey,1,2,Friendly,False,-69.0,19.0,-0.30000000000000027,0.0,-3.0,-3.0,3.3000000000000003,1.0,team_b_win,0,0,1
2025-06-07,Ivory Coast,New Zealand,0,1,Canadian Shield,True,165.0,53.0,2.0,11.0,12.0,23.0,25.0,0.0,team_b_win,0,0,1
2025-06-08,Germany,France,0,2,UEFA Nations League,False,-124.0,-7.0,0.5,10.0,2.0,12.0,12.5,0.0,team_b_win,0,0,1
2025-06-08,Portugal,Spain,2,2,UEFA Nations League,True,-140.0,-6.0,0.09999999999999964,1.0,-5.0,-4.0,6.1,0.0,draw,0,1,0
2025-06-10,England,Senegal,1,3,Friendly,False,164.0,13.0,0.5,8.0,7.0,15.0,15.5,0.0,team_b_win,0,0,1
2025-06-10,Mexico,Turkey,1,0,Friendly,True,32.0,21.0,0.09999999999999964,-4.0,9.0,5.0,13.1,1.0,team_a_win,1,0,0
2025-06-10,Sweden,Algeria,4,3,Friendly,False,-17.0,-7.0,-1.1999999999999997,-5.0,-15.0,-20.0,21.2,0.0,team_a_win,1,0,0
2025-06-10,United States,Switzerland,0,4,Friendly,False,-85.0,5.0,0.19999999999999996,3.0,-7.0,-4.0,10.2,1.0,team_b_win,0,0,1
2025-06-10,Argentina,Colombia,1,1,FIFA World Cup qualification,False,133.0,10.0,0.2999999999999998,0.0,7.0,7.0,7.3,0.0,draw,0,1,0
2025-06-10,Brazil,Paraguay,1,0,FIFA World Cup qualification,False,198.0,32.0,0.30000000000000004,10.0,1.0,11.0,11.3,0.0,team_a_win,1,0,0
2025-06-10,Uzbekistan,Qatar,3,0,FIFA World Cup qualification,False,267.0,3.0,0.8,8.0,5.0,13.0,13.8,0.0,team_a_win,1,0,0
2025-06-10,Jordan,Iraq,0,1,FIFA World Cup qualification,False,73.0,-8.0,0.0,6.0,-5.0,1.0,11.0,0.0,team_b_win,0,0,1
2025-06-10,Saudi Arabia,Australia,1,2,FIFA World Cup qualification,False,-241.0,-34.0,-0.5,-3.0,-3.0,-6.0,6.5,0.0,team_b_win,0,0,1
2025-06-10,Canada,Ivory Coast,0,0,Canadian Shield,False,24.0,3.0,-1.0,-11.0,2.0,-9.0,14.0,1.0,draw,0,1,0
2025-06-15,Haiti,Saudi Arabia,0,1,Gold Cup,True,-62.0,-28.0,0.2999999999999998,4.0,2.0,6.0,6.3,0.0,team_b_win,0,0,1
2025-06-19,United States,Saudi Arabia,1,0,Gold Cup,False,182.0,46.0,0.7999999999999998,11.0,-3.0,8.0,14.8,1.0,team_a_win,1,0,0
2025-06-22,United States,Haiti,2,1,Gold Cup,False,244.0,74.0,0.5,7.0,-5.0,2.0,12.5,1.0,team_a_win,1,0,0
2025-06-28,Mexico,Saudi Arabia,2,0,Gold Cup,True,283.0,48.0,1.1999999999999997,7.0,9.0,16.0,17.2,1.0,team_a_win,1,0,0
2025-07-06,United States,Mexico,1,2,Gold Cup,False,-101.0,-2.0,-0.3999999999999999,4.0,-12.0,-8.0,16.4,0.0,team_b_win,0,0,1
2025-09-04,Paraguay,Ecuador,0,0,FIFA World Cup qualification,False,-110.0,-7.0,-0.30000000000000004,1.0,-7.0,-6.0,8.3,0.0,draw,0,1,0
2025-09-05,Australia,New Zealand,1,0,Soccer Ashes,False,261.0,59.0,1.1,5.0,9.0,14.0,15.1,0.0,team_a_win,1,0,0
2025-09-06,Mexico,Japan,0,0,Friendly,True,-29.0,5.0,0.19999999999999973,3.0,4.0,7.0,7.199999999999999,1.0,draw,0,1,0
2025-09-06,United States,South Korea,0,2,Friendly,False,-6.0,10.0,0.0,7.0,-3.0,4.0,10.0,1.0,team_b_win,0,0,1
2025-09-07,Turkey,Spain,0,6,FIFA World Cup qualification,False,-280.0,-29.0,0.0,-3.0,-9.0,-12.0,12.0,0.0,team_b_win,0,0,1
2025-09-09,Mexico,South Korea,2,2,Friendly,True,95.0,12.0,0.3999999999999999,3.0,9.0,12.0,12.4,1.0,draw,0,1,0
2025-09-09,New Zealand,Australia,1,3,Soccer Ashes,False,-261.0,-59.0,-1.1,-5.0,-9.0,-14.0,15.1,0.0,team_b_win,0,0,1
2025-09-09,United States,Japan,2,0,Friendly,False,-130.0,3.0,-0.20000000000000018,7.0,-8.0,-1.0,15.2,1.0,team_a_win,1,0,0
2025-09-09,Ecuador,Argentina,1,0,FIFA World Cup qualification,False,-225.0,-28.0,-0.8,-13.0,-3.0,-16.0,16.8,0.0,team_a_win,1,0,0
2025-09-09,DR Congo,Senegal,2,3,FIFA World Cup qualification,False,-208.0,-26.0,-0.19999999999999996,-5.0,4.0,-1.0,9.2,0.0,team_b_win,0,0,1
2025-09-09,Bosnia and Herzegovina,Austria,1,2,FIFA World Cup qualification,False,-214.0,-44.0,-1.2,-12.0,-7.0,-19.0,20.2,0.0,team_b_win,0,0,1
2025-10-10,Canada,Australia,0,1,Friendly,False,-72.0,-3.0,-0.10000000000000009,-5.0,5.0,0.0,10.1,1.0,team_b_win,0,0,1
2025-10-10,Japan,Paraguay,2,2,Kirin Cup,False,130.0,21.0,0.7000000000000002,2.0,5.0,7.0,7.7,0.0,draw,0,1,0
2025-10-10,South Korea,Brazil,0,5,Friendly,False,-192.0,-18.0,0.19999999999999996,-8.0,-1.0,-9.0,9.2,0.0,team_b_win,0,0,1
2025-10-10,United States,Ecuador,1,1,Friendly,False,-110.0,17.0,0.19999999999999996,10.0,-10.0,0.0,20.2,1.0,draw,0,1,0
2025-10-10,Sweden,Switzerland,0,2,FIFA World Cup qualification,False,-110.0,-18.0,-0.5999999999999999,-3.0,-10.0,-13.0,13.6,0.0,team_b_win,0,0,1
2025-10-11,Mexico,Colombia,0,4,Friendly,True,-101.0,1.0,0.09999999999999964,-7.0,6.0,-1.0,13.1,1.0,team_b_win,0,0,1
2025-10-13,Uzbekistan,Uruguay,1,2,Friendly,True,-156.0,-35.0,-0.19999999999999996,3.0,-1.0,2.0,4.2,0.0,team_b_win,0,0,1
2025-10-14,Japan,Brazil,3,2,Kirin Cup,False,-68.0,-11.0,0.40000000000000013,-8.0,4.0,-4.0,12.4,0.0,team_a_win,1,0,0
2025-10-14,Canada,Colombia,0,0,Friendly,True,-215.0,-16.0,-0.7000000000000002,-16.0,5.0,-11.0,21.7,1.0,draw,0,1,0
2025-10-14,South Korea,Paraguay,2,0,Friendly,False,6.0,14.0,0.5,2.0,0.0,2.0,2.5,0.0,team_a_win,1,0,0
2025-10-14,Mexico,Ecuador,1,1,Friendly,False,-9.0,19.0,0.5999999999999999,6.0,2.0,8.0,8.6,1.0,draw,0,1,0
2025-10-14,Norway,New Zealand,1,1,Friendly,False,336.0,57.0,1.6,22.0,11.0,33.0,34.6,0.0,draw,0,1,0
2025-10-14,United States,Australia,2,1,Friendly,False,-59.0,12.0,0.2999999999999998,8.0,-6.0,2.0,14.3,1.0,team_a_win,1,0,0
2025-10-14,Saudi Arabia,Iraq,0,0,FIFA World Cup qualification,False,-9.0,1.0,-0.5999999999999999,0.0,-3.0,-3.0,3.5999999999999996,0.0,draw,0,1,0
2025-11-13,Canada,Ecuador,0,0,Friendly,False,-123.0,2.0,-0.19999999999999996,-3.0,1.0,-2.0,4.2,1.0,draw,0,1,0
2025-11-13,Iran,Cape Verde,0,0,Al Ain International Cup,True,150.0,41.0,0.40000000000000013,5.0,5.0,10.0,10.4,0.0,draw,0,1,0
2025-11-14,Japan,Ghana,2,0,Kirin Cup,False,400.0,49.0,1.0,4.0,6.0,10.0,11.0,0.0,team_a_win,1,0,0
2025-11-14,Saudi Arabia,Ivory Coast,1,0,Friendly,False,-145.0,-28.0,-1.4,-9.0,-6.0,-15.0,16.4,0.0,team_a_win,1,0,0
2025-11-14,Tunisia,Jordan,3,2,Friendly,False,-95.0,10.0,-0.5,-5.0,-2.0,-7.0,7.5,0.0,team_a_win,1,0,0
2025-11-14,Uzbekistan,Egypt,2,0,Al Ain International Cup,True,3.0,-28.0,-0.10000000000000009,1.0,-2.0,-1.0,3.1,0.0,team_a_win,1,0,0
2025-11-15,Brazil,Senegal,2,0,Friendly,True,118.0,12.0,-0.30000000000000004,7.0,-3.0,4.0,10.3,0.0,team_a_win,1,0,0
2025-11-15,Colombia,New Zealand,2,1,Friendly,True,404.0,72.0,1.7000000000000002,16.0,9.0,25.0,26.7,0.0,team_a_win,1,0,0
2025-11-15,Mexico,Uruguay,0,0,Friendly,False,11.0,8.0,0.5999999999999999,7.0,4.0,11.0,11.6,1.0,draw,0,1,0
2025-11-15,United States,Paraguay,2,1,Friendly,False,0.0,24.0,0.5,9.0,-3.0,6.0,12.5,1.0,team_a_win,1,0,0
2025-11-15,Switzerland,Sweden,4,1,FIFA World Cup qualification,False,110.0,18.0,0.5999999999999999,3.0,10.0,13.0,13.6,0.0,team_a_win,1,0,0
2025-11-17,Cape Verde,Egypt,1,1,Al Ain International Cup,True,-105.0,-37.0,-0.20000000000000018,1.0,-5.0,-4.0,6.2,0.0,draw,0,1,0
2025-11-18,Saudi Arabia,Algeria,0,2,Friendly,False,-174.0,-30.0,-1.1999999999999997,-10.0,-9.0,-19.0,20.2,0.0,team_b_win,0,0,1
2025-11-18,Brazil,Tunisia,1,1,Friendly,True,393.0,53.0,0.5,11.0,5.0,16.0,16.5,0.0,draw,0,1,0
2025-11-18,Colombia,Australia,3,0,Friendly,True,143.0,13.0,0.6000000000000001,11.0,0.0,11.0,11.6,0.0,team_a_win,1,0,0
2025-11-18,Ecuador,New Zealand,2,0,Friendly,True,312.0,54.0,1.2,3.0,13.0,16.0,17.2,0.0,team_a_win,1,0,0
2025-11-18,South Korea,Ghana,1,0,Friendly,False,276.0,42.0,0.7999999999999998,4.0,1.0,5.0,5.8,0.0,team_a_win,1,0,0
2025-11-18,Mexico,Paraguay,1,2,Friendly,True,101.0,26.0,0.8999999999999999,5.0,9.0,14.0,14.9,1.0,team_b_win,0,0,1
2025-11-18,United States,Uruguay,5,1,Friendly,False,-90.0,6.0,0.19999999999999996,11.0,-8.0,3.0,19.2,1.0,team_a_win,1,0,0
2025-11-18,Spain,Turkey,2,2,FIFA World Cup qualification,False,280.0,29.0,0.0,3.0,9.0,12.0,12.0,0.0,draw,0,1,0
2025-11-18,Austria,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,False,214.0,44.0,1.2,12.0,7.0,19.0,20.2,0.0,draw,0,1,0
2025-11-18,Iran,Uzbekistan,0,0,Al Ain International Cup,True,42.0,32.0,0.30000000000000004,5.0,2.0,7.0,7.3,0.0,draw,0,1,0
2025-12-07,Qatar,Tunisia,0,3,Arab Cup,False,-138.0,1.0,-0.5,-6.0,3.0,-3.0,9.5,0.0,team_b_win,0,0,1
2025-12-08,Morocco,Saudi Arabia,1,0,Arab Cup,True,242.0,53.0,1.1,9.0,9.0,18.0,19.1,0.0,team_a_win,1,0,0
2025-12-09,Egypt,Jordan,0,3,Arab Cup,True,31.0,42.0,-0.09999999999999987,-4.0,8.0,4.0,12.1,0.0,team_b_win,0,0,1
2025-12-09,Algeria,Iraq,2,0,Arab Cup,True,165.0,31.0,0.5999999999999999,10.0,6.0,16.0,16.6,0.0,team_a_win,1,0,0
2025-12-12,Jordan,Iraq,1,0,Arab Cup,True,73.0,-8.0,0.0,6.0,-5.0,1.0,11.0,0.0,team_a_win,1,0,0
2025-12-15,Saudi Arabia,Jordan,0,1,Arab Cup,True,-82.0,9.0,-0.5999999999999999,-6.0,2.0,-4.0,8.6,0.0,team_b_win,0,0,1
2025-12-18,Jordan,Morocco,2,3,Arab Cup,True,-160.0,-62.0,-0.5000000000000002,-3.0,-11.0,-14.0,14.5,0.0,team_b_win,0,0,1
2025-12-26,Egypt,South Africa,1,0,African Cup of Nations,True,200.0,35.0,0.20000000000000018,1.0,5.0,6.0,6.2,0.0,team_a_win,1,0,0
2025-12-27,Senegal,DR Congo,1,1,African Cup of Nations,True,208.0,26.0,0.19999999999999996,5.0,-4.0,1.0,9.2,0.0,draw,0,1,0
2026-01-06,Algeria,DR Congo,1,0,African Cup of Nations,True,120.0,14.0,0.4999999999999998,10.0,1.0,11.0,11.5,0.0,team_a_win,1,0,0
2026-01-10,Egypt,Ivory Coast,3,2,African Cup of Nations,True,-32.0,5.0,-0.8999999999999999,-7.0,0.0,-7.0,7.9,0.0,team_a_win,1,0,0
2026-01-14,Senegal,Egypt,1,0,African Cup of Nations,True,149.0,9.0,0.3999999999999999,3.0,-2.0,1.0,5.4,0.0,team_a_win,1,0,0
2026-01-18,Morocco,Senegal,3,0,African Cup of Nations,False,-20.0,11.0,0.20000000000000018,4.0,5.0,9.0,9.2,0.0,team_a_win,1,0,0
2026-01-22,Panama,Mexico,0,1,Friendly,False,-151.0,-29.0,-0.6999999999999997,0.0,-12.0,-12.0,12.7,-1.0,team_b_win,0,0,1
2026-03-26,Brazil,France,1,2,Friendly,True,-85.0,-4.0,-0.8,-2.0,-3.0,-5.0,5.8,0.0,team_b_win,0,0,1
2026-03-26,Colombia,Croatia,1,2,Friendly,True,70.0,3.0,0.0,6.0,0.0,6.0,6.0,0.0,team_b_win,0,0,1
2026-03-27,Austria,Ghana,5,1,Friendly,False,320.0,45.0,1.4,16.0,10.0,26.0,27.4,0.0,team_a_win,1,0,0
