date,team_a,team_b,team_a_goals,team_b_goals,tournament,neutral,elo_diff,fifa_rank_diff,recent_form_diff,goals_for_last_10_diff,goals_against_last_10_diff,goal_diff_last_10_diff,strength_gap,host_advantage_diff,result,team_a_win,draw,team_b_win
2023-06-29,Haiti,Mexico,1,3,Gold Cup,True,-345.0,-76.0,-0.8999999999999999,-3.0,-7.0,-10.0,10.9,-1.0,team_b_win,0,0,1
2023-07-02,Mexico,Qatar,0,1,Gold Cup,True,434.0,46.0,1.5999999999999999,12.0,10.0,22.0,23.6,1.0,team_b_win,0,0,1
2023-07-08,Panama,Qatar,4,0,Gold Cup,True,283.0,17.0,0.9000000000000001,12.0,-2.0,10.0,14.9,0.0,team_a_win,1,0,0
2023-07-09,United States,Canada,2,2,Gold Cup,False,13.0,15.0,0.3999999999999999,13.0,-11.0,2.0,24.4,0.0,draw,0,1,0
2023-07-12,United States,Panama,1,1,Gold Cup,False,50.0,27.0,0.2999999999999998,4.0,0.0,4.0,4.3,1.0,draw,0,1,0
2023-07-16,Mexico,Panama,1,0,Gold Cup,True,151.0,29.0,0.6999999999999997,0.0,12.0,12.0,12.7,1.0,team_a_win,1,0,0
2023-09-07,Argentina,Ecuador,1,0,FIFA World Cup qualification,False,225.0,28.0,0.8,13.0,3.0,16.0,16.8,0.0,team_a_win,1,0,0
2023-09-07,Norway,Jordan,6,0,Friendly,False,234.0,41.0,0.40000000000000013,14.0,7.0,21.0,21.4,0.0,team_a_win,1,0,0
2023-09-09,Germany,Japan,1,4,Friendly,False,29.0,8.0,0.8999999999999999,20.0,1.0,21.0,21.9,0.0,team_b_win,0,0,1
2023-09-09,Mexico,Australia,2,2,Friendly,True,42.0,14.0,0.6999999999999997,4.0,6.0,10.0,10.7,1.0,draw,0,1,0
2023-09-09,United States,Uzbekistan,3,0,Friendly,False,66.0,41.0,0.3999999999999999,8.0,-7.0,1.0,15.4,1.0,team_a_win,1,0,0
2023-09-12,Ecuador,Uruguay,2,1,FIFA World Cup qualification,False,20.0,-11.0,0.0,1.0,2.0,3.0,3.0,0.0,team_a_win,1,0,0
2023-09-12,Egypt,Tunisia,1,3,Friendly,False,126.0,32.0,0.40000000000000013,1.0,10.0,11.0,11.4,0.0,team_b_win,0,0,1
2023-09-12,Germany,France,2,1,Friendly,False,-124.0,-7.0,0.5,10.0,2.0,12.0,12.5,0.0,team_a_win,1,0,0
2023-09-12,Japan,Turkey,4,2,Friendly,True,61.0,16.0,-0.10000000000000009,-7.0,5.0,-2.0,12.1,0.0,team_a_win,1,0,0
2023-09-12,South Korea,Saudi Arabia,1,0,Friendly,True,188.0,36.0,0.7999999999999998,4.0,0.0,4.0,4.8,0.0,team_a_win,1,0,0
2023-09-12,Mexico,Uzbekistan,3,3,Friendly,True,167.0,43.0,0.7999999999999998,4.0,5.0,9.0,9.8,1.0,draw,0,1,0
2023-09-12,Scotland,England,1,3,Friendly,False,-230.0,-37.0,-0.3999999999999999,-2.0,-8.0,-10.0,10.4,0.0,team_b_win,0,0,1
2023-09-12,Senegal,Algeria,0,1,Friendly,False,88.0,12.0,-0.2999999999999998,-5.0,-5.0,-10.0,10.3,0.0,team_b_win,0,0,1
